,S. No.,Message_body,Label
169,,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth 33: 50 only with The this. stop go2 notxt. co. uk,Spam
170,,Natalie (20 /) is inviting you to be her friend. Reply - or NO - 165 See her: www. SMS. / / natalie2k9 STOP? Send STOP FRND to 62468,Spam
171,,URGENT! Your Mobile number has been awarded with a £ 2000 prize. Call 09061790126 from land. Claim 3030. Valid 12hrs only,Spam
172,,entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to entry (std txt rate) & C ' s apply for details 18 +,Spam
173,,Get your garden for summer with a FREE selection of bulbs and £ 33: 50 only with The Scotsman this Saturday. To stop go2 notxt. co. uk,Spam
174,,Double Mins & Double Txt & / 2 price Linerental on Latest Orange Bluetooth mobiles. MobileUpd8 for the very latest offers. 08000839402 or / LF56,Spam
175,,Want explicit SEX in secs? Ring 02073162414 now! Costs 20p / min Gsex POBOX 2667 3XX,Spam
176,,"URGENT! You have won a 1 week FREE membership in our 100, 000 Prize Jackpot! Txt the word: to: 81010 T & C www. dbuk. net LCCLTD POBOX",Spam
177,,Jamster! get your free wallpaper text HEART to now! T & C. 16 only. Need Help? Call 08701213186.,Spam
178,,* FREE * POLYPHONIC RINGTONE Text to 87131 to get your FREE POLY TONE of the now! 16 PoBox202 NR31 7ZS subscription 450pw,Spam
179,,Santa! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you. Calls1. last 3mins 30s T & C www. santacalling.,Spam
180,,"Latest! Police station toilet, cops have nothing to go on!",Spam
181,,"This is the 2nd time we have 2 contact u. U have won the 750 prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. - - rate",Spam
182,,"Is the 2nd attempt to U, you have won this weeks top of either £ 1000 cash or £ 200 prize. Just call 09066361921",Spam
183,,Your unique user ID is 1172. For removal send to 87239 services 08708034412,Spam
184,,You have new. Call 0207 - 083 - 6089,Spam
185,,MESSAGE. This is a final contact attempt. You have messages waiting out our customer claims dept. Expires / / 04. Call 08717507382 NOW!,Spam
186,,YOU HAVE! As a valued Vodafone customer our computer has picked YOU to a £ 150 prize. To is easy. Just call 09061743386,Spam
187,,"This is the 2nd time we have tried 2 contact. U have won the £ 750 prize. 2 claim is easy, call 087187272008 NOW1! Only 10p minute. BT - -.",Spam
188,,Calling! your little ones like a from Santa Xmas eve? Call 09058094583 to book your time.,Spam
189,,"Spook up your with a Halloween collection of a & message plus a free eerie tone, txt CARD SPOOK to zed 08701417012150p per logo / pic",Spam
190,,Are being ripped off! Get your mobile content from www. clubmoby. com call 08717509990 / true / Pix / Ringtones / Games six for only,Spam
191,,No 1 POLYPHONIC tone 4 ur week! Just txt PT2 to 87575. Tone! so get txtin now and tell ur friends. 150p / tone. 16 reply HL 4info,Spam
192,,Marvel Play the official Ultimate Spider - man game (£ 4. 50) on ur mobile now. SPIDER to 83338 for the game & we ll send u a FREE wallpaper,Spam
193,,"YOU VE WON! Your 4 * Costa Del Sol Holiday or 5000 await collection. Call 09050090044 toClaim. SAE, TC s, ,, , Cost £ 1. 50 / pm, Max10mins",Spam
194,,URGENT! Your Mobile number has been with a £ 2000 prize GUARANTEED. 09061790121 from land line. Claim. Valid 12hrs only 150ppm,Spam
195,,PRIVATE! Your 2003 Account Statement for shows un - redeemed S. I. M. points. 08715203685 Code: 4xx26 Expires / 10 / 04,Spam
196,,£ 400 XMAS REWARD IS FOR YOU! Our computer has randomly you from our loyal mobile customers to receive a £ 400 reward. Just call,Spam
197,,You are awarded a SiPix Digital Camera! call 09061221061 from. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. . p £ 3.,Spam
198,,"FREE GAME. Get Rayman 4 FREE from the O2 Games Arcade. 1st get UR games. POST, then save & activ8. 0 key for Arcade. Termsapply",Spam
199,,Camera - You are awarded a SiPix Camera! call 09061221066 landline. Delivery within 28 days.,Spam
200,,"URGENT! Your Mobile No 07808726822 was awarded a £ 2, 000 Prize on / 09 / 03! This is our 2nd to contact YOU! Call 0871 - 872 - 9758 BOX95QU",Spam
201,,This msg is for your content order has been resent as previous attempt failed due to network error Queries to @ netvision. uk. com,Spam
202,,URGENT! We are to contact U. Todays draw shows that you have won a £ 2000 prize GUARANTEED. 09058094507 from land line. Claim 3030. only,Spam
203,,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN MINS. INDIA CUST SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. DUE IN. I O £ 250 3 WANT £ 800,Spam
204,,FREE for 1st! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 txting and tell ur mates. www. getzed. co. 36504 W45WQ 16 + norm150p / tone,Spam
205,,You have WON a guaranteed £ 1000 cash or a £ prize. To prize call our customer service representative on 08714712412 between - 7pm Cost 10p,Spam
206,,"Got what it takes take part in the in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p ), packs or lucozade. co. / wrc & itcould be u!",Spam
207,,Urgent! Please call 09061213237 from a landline. £ 5000 or a 4 * holiday collection. T & Cs PO Box 177 M227XY. +,Spam
208,,Had your mobile 11mths? Update for FREE to Oranges latest colour mobiles & unlimited calls. Call Upd8 on freefone 08000839402 or 2StopTxt,Spam
209,,Call for only 1 pence per! from a fixed via access number 0844 861 85 85. No prepayment. Direct access! www. telediscount. co. uk,Spam
210,,"If you don ' t, your prize will go to another. T & C at www. t - c. biz 18 + / min Polo Ltd Suite London W1J 6HL Please call if",Spam
211,,"Service. We tried to make a to you but were unable to do so, please call 07099833605 to re - schedule. Ref: 9280114",Spam
212,,"Free to the gr8prizes wkly comp 4 a chance to win the latest Nokia, or £ 250 cash every wk. TXT GREAT to 80878 http / /. gr8prizes. com 08715705022",Spam
213,,Great! Call FREEFONE 08006344447 to claim your £ 1000 CASH or £ 2000 gift. Speak to a live operator!,Spam
214,,PRIVATE! Your 2003 Account Statement for <fone no> 800 un - S. I. M. points. Call 08715203656 Identifier Code: 42049 26 / 10 /,Spam
215,,PRIVATE! Your 2003 Account Statement for,Spam
216,,Can donate £ 2. 50 to UNICEF ' s Asian Tsunami support fund by texting DONATE to 864233. 2. 50 will be added to your bill,Spam
217,,Call 09095350301 and send our girls into erotic ecstacy. Just / min. texts call 08712460324 (nat rate ),Spam
218,,You won ' t believe it but it ' s true. ' s Incredible Txts! Reply now to learn things that will blow your mind. From O2FWD only 18p / txt,Spam
219,,"URGENT! Last weekend ' s draw shows that you have won £ 1000 cash or a! CALL 09050000332 to claim. T &: RSTM, SW7 3SS. 150ppm",Spam
220,,Cashbin. co. uk (lots of cash this weekend!) www. cashbin. . uk Dear Welcome to the We have got our biggest and EVER give away! ! These..,Spam
221,,"YOU WON! Your 4 * Costa Del Sol Holiday or £ 5000 await. Call Now toClaim. SAE, TC s, , Stockport, SK38xh, Cost £ 1. / pm, Max10mins",Spam
222,,"Urgent - call 09066649731from Landline. Your complimentary * Holiday or £ 10, 000 await collection SAE & Cs PO BOX 434 SK3 8WP 150ppm 18 +",Spam
223,,Phony £ award - Todays Voda numbers ending XXXX are selected to receive a 350 award. If you have a match please call quoting claim code 3100 rates app,Spam
224,,PRIVATE! Your 2003 Account Statement for shows 800 un - redeemed S. I. . points. Call Identifier Code: 49557 26 / 11 /,Spam
225,,u a winner U ave been specially selected receive £ 1000 cash or a 4 * holiday (inc) to a live operator 2 claim 0871277810710p / min (18 ),Spam
226,,You have won a guaranteed 32000 award or maybe even £ 1000 cash to award call free on 0800. .. .. (18 + ). Its a efreefone do u think? ??,Spam
227,,"Hi, the girls are waiting for you to them. Text now for a night chatting. send STOP to stop this service",Spam
228,,"> Hit the link to get a premium Pink Panther game, the new no. from Sugababes, a crazy Zebra or a badass Hoody wallpaper - all 4!",Spam
229,,Records indicate u entitled to 5000 pounds in compensation for the Accident you had. To 4 reply with CLAIM to this msg. 2 stop txt STOP,Spam
230,,"Mobiles from 2004, MUST! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £ 1. . 4 -. biz 2optout 087187262701. 50gbp / mtmsg18 TXTAUCTION.",Spam
231,,PRIVATE! Your 2003 Account Statement for shows 800 un - redeemed S. I. M. points. Identifier Code: 48922 Expires / / 04,Spam
232,,"are guaranteed the latest Nokia Phone, a 40GB iPod or a £ prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p / Mtmsgrcvd18",Spam
233,,December only! Had your mobile 11mths +? You are to to the latest colour mobile for Free! Call Mobile Update VCo FREE on 08002986906,Spam
234,,For the most sparkling shopping from 45 per person; call 0121 2025050 or. shortbreaks. org. uk,Spam
235,,URGENT We are trying to contact you Last weekends draw shows u have won a 1000 prize GUARANTEED Call Claim code Valid 12hrs 150p pm,Spam
236,,4 alfie Moon ' s Children in need song on mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 2.,Spam
237,,( 25 /) is inviting you to be her friend. Reply YES - 440 or NO - 440 her: www. SMS. ac / u / nat27081980 STOP? Send to 62468,Spam
238,,( 29 / M) is you to be his friend. Reply YES - 762 or NO - See him: www. SMS. ac / / goldviking? Send STOP FRND to 62468,Spam
239,,"Hi its Chloe, how r u? I was on saturday night, it was great! How was your? been missing me? visionsms. com Text stop to stop 150p / text",Spam
240,,"Hi babe Chloe its, r how u? I was on smashed night saturday, it was! great How was your weekend? U been missing me SP? . visionsms com Text to stop / stop 150p text",Spam
241,,1 no POLYPHONIC tone 4 ur mob week every Just! PT2 txt 87575 to. 1st Tone FREE! so get txtin now and ur tell friends. 150p / 16 tone. 4info reply HL,Spam
242,,Donate you can £ 2. 50 to UNICEF ' s Asian Tsunami support disaster texting fund by DONATE to. 864233. £ 2 50 will be added to your next bill,Spam
243,,Get your garden ready summer for with a FREE summer selection of bulbs and worth £ seeds 33 50: only with Scotsman The Saturday this. stop To go2. notxt co. uk,Spam
244,,"Urgent - call Landline 09066649731from. Your 4 complimentary Ibiza * or £ Holiday, 10 cash await 000 collection T SAE Cs & PO BOX 434 SK3 8WP 150ppm 18 +",Spam
245,,"! goal 4 Arsenal (Henry 7, v Liverpool 2 scores Henry with a shot simple from yards 6 from a pass by Bergkamp give to Arsenal a goal 2 margin after 78 mins.",Spam
246,,HAVE YOU WON As! a Vodafone customer valued computer our has YOU picked to win a £ 150 prize To. collect easy is. Just 09061743386 call,Spam
247,,Santa Calling! your Would ones little call like a Santa from Xmas eve? Call 09058094583 to your book. time,Spam
248,,Get garden your ready for summer with a FREE selection of bulbs summer and seeds worth: £ 33 50 only with Scotsman The Saturday this. To stop notxt go2. co uk.,Spam
249,,! urgent call Please from 09061213237 £ landline 5000. cash or a luxury 4 * Canary Islands Holiday collection await. T & SAE Cs PO 177 Box. . M227XY 150ppm. 16 +,Spam
250,,"WIN: We have a winner! Mr. . T Foley won an iPod! More soon exciting prizes, keep so an on eye mobile ur or. visit www win 82050 -. co uk.",Spam
251,,"New Mobiles 2004 from, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! ONLY From £ 1. www 4. -. tc 087187262701 biz 2optout. 50gbp / mtmsg18 TXTAUCTION.",Spam
252,,min per 2p call to 08448350055 Germany from your BT line Just. 2p min per Check. PlanetTalkInstant. com info for & T ' s & C ' s. Text to stop opt out,Spam
253,,Voda todays ending numbers with 7634 are selected to receive a 350 £ reward. If you have a match call please 08712300220 claim quoting 7684 code standard. rates apply,Spam
254,,! URGENT Your number Mobile has been with awarded a £ GUARANTEED 2000 prize. 09061790126 Call land from line Claim. 3030. Valid 12hrs 150ppm only,Spam
255,,URGENT! are We to trying U contact. Todays draw shows that you have won a 2000 £ prize GUARANTEED. Call 09058094507 from land line Claim. 3030. 12hrs Valid only,Spam
256,,"! URGENT Last ' weekend s draw that shows you have £ won 1000 or cash a Spanish holiday! CALL NOW 09050000332 to. claim & T RSTM C: , 3SS SW7. 150ppm",Spam
257,,Someonone you is know trying contact to via you our service dating! To out find who it could be from call your mobile BOX334SK38ch or landline 09064015307,Spam
258,,User your unique ID is 1172 For. send removal STOP 87239 to customer services 08708034412,Spam
259,,URGENT We are trying contact to you Last shows weekends u draw have won a 1000 £ prize Call GUARANTEED 09064017295 Claim K52 code 12hrs Valid pm 150p,Spam
260,,Invaders buy Space 4 a chance win 2 orig Arcade Game console. Press 0 for Games Arcade std (WAP) charge See. o2 co. uk / games 4 Terms + No settings. purchase,Spam
261,,"GAME. FREE Get Rayman Golf 4 FREE from O2 the Arcade Games. get settings 1st UR games. Reply POST, then save & activ8 Press. 0 key for Arcade Termsapply.",Spam
262,,! URGENT Your Mobile number has been with awarded a £ prize 2000. GUARANTEED Call 09061790121 from land line Claim. 3030. Valid 12hrs only 150ppm,Spam
263,,You are being off ripped Get! your content mobile from. www clubmoby. com 08717509990 call poly true / Pix / / Ringtones / six downloads Games for 3 only,Spam
264,,"Is this the time 2nd we have 2 contact tried u U. have won £ the 750 Pound prize. 2 is claim easy, call NOW1 087187272008! Only 10p per minute BT. - - national rate.",Spam
265,,This URGENT is our 2nd attempt to contact U. Your 900 £ prize from YESTERDAY is still awaiting collection To. CALL claim NOW 09061702893,Spam
266,,Had your mobile 11mths? Update for FREE to Oranges latest mobiles camera colour & unlimited weekend. calls Call Mobile Upd8 on freefone 08000839402 2StopTxt or,Spam
267,,Bored housewives! Chat date n now! . 0871750 77. ! 11 - BT national 10p rate / min only from! landlines,Spam
268,,Records our indicate u entitled maybe to pounds 5000 in compensation for the Accident you had claim. To 4 reply free with to CLAIM this msg. 2 STOP txt stop,Spam
269,,Want explicit SEX 30 in secs? Ring 02073162414 now Costs! min 20p Gsex / POBOX WC1N 2667 3XX,Spam
270,,"You if don ' t, your prize will go to customer another T. C & at. www t -. c biz 18 + 150p / Polo min Ltd Suite London 373 W1J 6HL Please back if call busy",Spam
271,,! PRIVATE 2003 Your Account for Statement shows - 800 un redeemed S. . I M. points. Call 08718738002 Identifier Code 48922: Expires 21 / 11 04 /,Spam
272,,CDs 4u: Congratulations ur awarded £ of 500 CD vouchers gift or £ gift guaranteed 125 & Freeentry £ 2 100 wkly draw xt MUSIC to 87066 TnCs www. ldew com1win150ppmx3age16.,Spam
273,,ree in entry 2 weekly a comp for a chance to win an ipod. Txt POD to 80182 to entry (get std txt) rate T & ' C s apply for 08452810073 details + 18,Spam
274,,£ a IS 400 XMAS REWARD WAITING FOR! YOU computer Our has randomly picked you from our customers mobile loyal to receive a £ reward 400. Just call 09066380611,Spam
275,,Get the official ENGLAND poly ringtone or colour flag on mobile yer tonights for game! Text or TONE FLAG 84199 to. Optout txt ENG Box39822 W111WX STOP 1 £ 50.,Spam
276,,"! URGENT have You won a week 1 membership FREE in our 100 £, 000 Jackpot Prize! Txt the word CLAIM: to No: 81010 T & C www. . dbuk net LCCLTD POBOX 4403LDNW1A7RW18",Spam
277,,Sunshine! Quiz super Win a DVD Sony recorder if you the canname capital of Australia Text? to MQUIZ 82277. B,Spam
278,,The current leading is bid 151. To pause this auction send OUT Care. Customer 08718726270:,Spam
279,,"! URGENT Your Mobile 07808726822 No was awarded 2 a £, 000 Caller Bonus Prize on 02 / / 09 03! This is our 2nd attempt to contact YOU! 0871 Call 872 - - 9758 BOX95QU",Spam
280,,WIN a £ 200 spree Shopping every WEEK NOW Starting. 2 text STORE play to. 88039. SkilGme TsCs08714740323 1Winawk age16 £! . 1 50perweeksub.,Spam
281,,"This hi Amy is, we will sending be you a number free phone in a of couple, days which will give you access an to all the. adult parties..",Spam
282,,Please customer call our representative service 0800 on 169 between 10am 6031 - 9pm as you have a WON guaranteed £ cash 1000 or £ prize 5000!,Spam
283,,Are you awarded a SiPix Digital! Camera call from landline 09061221061. Delivery 28days within. T Cs Box177. M221BP. warranty 2yr. 150ppm. 16 p. £ 3 p 99.,Spam
284,,"Had mobile your mths 10 Update? to the latest Camera Video / phones for. KEEP FREE SAME UR NUMBER, extra Get free mins / texts. YES Text for call a",Spam
285,,/ http tms /. widelive. com / index. wml id? = 820554ad0a1705572711 & true first C = ¡ Ringtone C ¡,Spam
286,,' I d tell like to you my deepest fantasies darkest. Call me 09094646631 just 60p / min. texts To stop call 08712460324 (nat) rate,Spam
287,,21 lyricalladie (/ F) is inviting you to be her friend. Reply - 910 YES or NO - 910. See her www: . SMS. ac u / / STOP hmmross Send? FRND STOP 62468 to,Spam
288,,Phony £ 350 - award Todays Voda numbers XXXX ending are selected receive to a £ 350 award If. you have a match please call 08712300220 claim quoting 3100 code app standard rates,Spam
289,,"are ou guaranteed the Nokia latest Phone, a 40GB iPod player MP3 or £ 500 a! prize: Txt word COLLECT to No 83355: ! IBHltd LdnW15H 150p Mtmsgrcvd18 /",Spam
290,,( goldviking 29 / M) is inviting you to be friend his. YES - Reply 762 or NO - 762 him See: www SMS. . / ac u goldviking / STOP? STOP Send FRND 62468 to,Spam
291,,"News latest! station Police stolen, toilet cops have nothing to on go!",Spam
292,,FREE * * POLYPHONIC RINGTONE Text SUPER to 87131 to your get POLY FREE TONE of week the now! 16 SN NR31 PoBox202 7ZS subscription 450pw,Spam
293,,- SMS AUCTION A Nokia NEW BRAND 7250 is up auction 4 today! Auction is FREE join 2 & part take! Txt NOKIA to now 86021!,Spam
294,,* * FREE MESSAGE * Thanks * for using the Subscription Auction Service. 18. / 150p 2 Skip MSGRCVD an Auction txt OUT. 2 Unsubscribe txt CustomerCare STOP 08718726270,Spam
295,,"VE YOU WON! 4 Your Del * Sol Costa Holiday £ or 5000 await collection Call. 09050090044 Now toClaim SAE. , s TC, POBox334, Stockport, SK38xh, Cost £ 1. 50 pm /, Max10mins",Spam
296,,Thanks 4 support your continued question Your week this enter will u in2 our 4 draw £ 100 cash. Name the NEW US President txt? ans to 80082,Spam
297,,Have you 1 new message. call 08715205273 Please,Spam
298,,"Congrats 3G 2 mobile Videophones R yours. call 09063458130 now! wid videochat ur mates play, java games, music Dload polypH, rentl noline. . bx420 ip4. 5we. 150p",Spam
299,,: txt to CALL No: 86888 & your claim reward of 3 hours talk to time use from your phone now! Subscribe6GBP / mnth 16 3hrs inc stop txtStop? . www gamb tv.,Spam
300,,£ a 400 REWARD IS FOR XMAS WAITING YOU! has Our computer picked randomly you from our loyal customers mobile to receive a £ 400 reward. call Just 09066380611,Spam
301,,Cash - ur balance is 500 currently pounds - to cash maximize ur - in now send GO to 86688 only 150p /. meg: CC 08718720201 HG Suite342 / 2lands / Row W1j6HL /,Spam
302,,"This is the we 2nd time have tried 2 u. contact U have won the 750 prize Pound. claim 2 is easy, 08712101358 call! NOW Only 10p min per. BT - national rate -",Spam
303,,Voucher dear holder Have your meal next us on. Use the following link on your pc enjoy 2 2 4 a 1 experiencehttp dining: / / www. vouch4me. com / etlp /. dining asp,Spam
304,,u r a winner U ave been specially 2 selected 1000 receive cash £ or a 4 * (holiday inc) flights speak to live operator a 2 claim 0871277810710p min / (18 ),Spam
305,,"FROM REMINDER O2: To 2 get 50. free pounds call credit details and of offers pls great 2 reply this text with your, valid name house no and postcode",Spam
306,,"Spook up your mob with a Halloween of collection logo a message & pic plus free a tone eerie, SPOOK txt CARD 8007 to zed 08701417012150p per logo pic /",Spam
307,,Village 83118 warner Farrell C Colin in SWAT wkend this @ Warner Village & get 1 free med Popcorn. ! show Just ticket msg + @ kiosk. Valid 4 - / 7 12. C t & c @ kiosk. Reply SONY 4 mre film offers,Spam
308,,Great news! 08006344447 Call FREEFONE claim to your £ guaranteed 1000 CASH or 2000 £ gift. to Speak a live operator NOW!,Spam
309,,ARE YOU TO CHOSEN RECEIVE A AWARD £ 350! Pls claim call to number 09066364311 collect your award which you selected are to receive as mobile a valued customer.,Spam
310,,Vodafone numbers todays ending with 4882 selected are to receive a a £ award 350. your If number matches 09064019014 call to receive your 350 £. award,Spam
311,,"TheMob> Hit the link to get a Pink Panther premium game, the new no 1. from, Sugababes Zebra a crazy animation or badass Hoody a wallpaper - all! 4 FREE",Spam
312,,IMPORTANT MESSAGE. is This a contact attempt final. have important You messages waiting out our customer claims dept Expires. / 4 13 /. 04 Call NOW 08717507382!,Spam
313,,Video free camera with phones line Half Price rental for mths 12 and 500 cross ntwk 100 mins txts Call. 08001950382 MobileUpd8 or / Call2OptOut 674,Spam
314,,"Hi, SEXYCHAT the are waiting girls for you text to them Text. now for a great night. chatting STOP send stop to service this",Spam
315,,09095350301 call and send our girls erotic ecstacy into. Just 60p / min To. stop 08712460324 call texts (rate nat ),Spam
316,,! PRIVATE Your Account 2004 Statement for 078498 * * * * 786 7 unredeemed shows Bonus Points To. claim call 08719180219 Identifier: Code Expires 06 45239. 05 05.,Spam
317,,dating: i have two had of these Only. after started sent i a text to talk sport last radio week. Any do connection you or coincidence think?,Spam
318,,"Customer service announcement We. recently tried make to a to delivery you but were unable to do so, please 07099833605 call to re - schedule Ref. 9280114:",Spam
319,,5p 4 Moon alfie ' s Children in need song mob on ur. ur Tell m8s Txt. Tone charity to for 8007 Poly Nokias or charity for polys: 08701417012 zed profit charity 2.,Spam
320,,PRIVATE! Account Your Statement 2003 shows for 800 un - redeemed S. . I M. points. Call Identifier 08718738001 Code: 26 49557 Expires / 04 11 /,Spam
321,,Natalie (20 /) F is inviting you to be her friend. Reply YES - 165 or NO - See her 165: www SMS. . ac / u natalie2k9 /? Send STOP FRND STOP to 62468,Spam
322,,"3 get Lions England tone, reply lionm mono 4 or lionp poly 4. 4 more go www 2 ringtones. . co. uk, the n original best. 3GBP network Tones operator rates apply.",Spam
323,,FREE for 1st! week No1 Nokia tone 4 ur mobile week every txt NOKIA just to 8077 Get txting and tell ur mates. www. getzed. . co uk POBox 36504 16 W45WQ + / tone norm150p,Spam
324,,Co cashbin. . (uk lots Get cash of this! weekend) www. cashbin co. . Dear uk Welcome to the We weekend have got our biggest and best EVER cash give away! !. These.,Spam
325,,This is msg for mobile your content has order It resent been as previous attempt due failed network error to Queries to customersqueries @. netvision uk. com,Spam
326,,25 natalja (/ F) is inviting you to be her. friend Reply YES - 440 NO or - 440 her See: www. SMS ac. u / nat27081980 / STOP? STOP Send to FRND 62468,Spam
327,,XMAS iscoming & ur awarded £ 500 either gift CD vouchers & free entry 2 £ 100 r draw txt weekly MUSIC to 87066 TnC www Ldew. com1win150ppmx3age16subscription.,Spam
328,,You do want a New 3510i Nokia colour? phone DeliveredTomorrow 300 With free minutes to any mobile + texts 100 free + Free reply Camcorder or 08000930705 call.,Spam
329,,We tried to contact you re your reply to offer our of a Video Phone anytime any 750 network mins Price Line Half Rental Camcorder Reply or call 08000930705,Spam
330,,PRIVATE! Your Account 2003 Statement for 800 shows un redeemed - S. I M. . points. 08715203685 Call Identifier Code 4xx26: 13 Expires 10 / / 04,Spam
331,,Marvel Mobile Play the Ultimate official Spider - game man (£ 4.) 50 on ur mobile right now Text. SPIDER to 83338 for game the & we ll u send a FREE 8Ball wallpaper,Spam
332,,Urgent! call Please 09061213237 from a landline. 5000 £ or cash a 4 holiday *. await collection T Cs & PO SAE 177 Box. M227XY 16 +,Spam
333,,Jamster To! your get text free HEART wallpaper to now 88888 T! & C apply 16. only. Need Help? Call. 08701213186,Spam
334,,! PRIVATE Account Your 2003 Statement for 800 shows un - redeemed S I. . M. points. Call 08715203652 Code Identifier 42810: Expires / 29 / 0 10,Spam
335,,dear 0776xxxxxxx ' U ve invited been to XCHAT. This is our final attempt to contact! u CHAT Txt to 150p 86688 / / Suite342 MsgrcvdHG / 2Lands / Row / W1J6HL 18yrs LDN,Spam
336,,Germany call for only 1 per pence minute! Call from a fixed line via number access 861 85 0844 85. No prepayment. Direct! access. www. co telediscount uk.,Spam
337,,PRIVATE! Your Account 2003 Statement for <fone no> shows 800 - un redeemed. I S. . points M. Call Identifier 08715203656: Code 42049 Expires 26 / 10 / 04,Spam
338,,Calling santa Would! your ones little like a call from Xmas Santa Call Eve? 09077818151 to you book time Calls1. 50ppm. last 3mins 30s & T C www. santacalling. com,Spam
339,,"This is the 2nd attempt to contract U, you have won weeks this top of prize £ either cash 1000 or 200 £ prize. Just call 09066361921",Spam
340,,Out Your check Choose Videos Babe @. sms shsex. netUN fgkslpoPW fgkslpo,Spam
341,,"To welcome Select, O2 service an with benefits added. You can call now our specially trained FREE from advisors your mobile by dialling 402.",Spam
342,,PRIVATE! Your 2003 Account Statement 07808247860 for 800 shows un - S redeemed. I. M. . points Call 08719899229 Identifier Code: Expires 40411 06 / / 11 04,Spam
343,,December only Had! your mobile + 11mths You? are entitled update to to the latest camera mobile colour for Free! Call Mobile Update The FREE VCo 08002986906 on,Spam
344,,"VE YOU WON! 4 Your * Del Sol Costa or Holiday £ 5000 await collection. Call Now 09050090044 toClaim. SAE, TC s, POBox334 Stockport, ,, SK38xh £ 1 Cost. 50 / pm, Max10mins",Spam
345,,! PRIVATE Your 2003 Statement Account 078 for,Spam
346,,Your Cool weekly - tones Mob are ready to download! weeks This new Tones include: 1) Crazy AXEL Frog -> F> > 2) Lonely Akon -> >> 3) Black - Eyed P Dont> >> More info in n,Spam
347,,Want the latest Video handset? anytime 750 any mins network? line Half price? rental Reply or 08000930705 call tomorrow for delivery,Spam
348,,83039 62735 £ = UK 450 AccommodationVouchers Break & terms apply conditions 2. claim you mustprovide your claim which number is 15541,Spam
349,,Won you ' believe t it but it ' s. true It ' Incredible s Txts Reply! now G to learn amazing things truly that will blow your mind. From O2FWD 18p only txt /,Spam
350,,Have WON you a £ guaranteed 1000 cash or 2000 a £ prize. To claim call yr prize our customer service representative 08714712412 on between - 10am 7pm 10p Cost,Spam
351,,December only! Had your + mobile 11mths? are You to entitled update to latest the colour mobile camera for Free! Call Update Mobile The Co FREE 08002986906 on,Spam
352,,"Free to entry the wkly gr8prizes comp 4 a chance to the win Nokia latest 8800, PSP £ or 250 cash every. wk TXT GREAT 80878 to http / / www. gr8prizes. 08715705022 com",Spam
353,,Camera - are You awarded a SiPix Camera Digital! call fromm 09061221066 landline. within Delivery. 28 days,Spam
354,,The for most sparkling breaks shopping 45 per from person; call 0121 2025050 or www visit shortbreaks. . org uk.,Spam
355,,You have won a 32000 guaranteed award or maybe even 1000 £ to cash ur claim call free award on. 0800. .. . (18 +) Its. legitimat a efreefone number wat do think u? ??,Spam
356,,"R subscribed u 2 TEXTCOMP wkly 250 comp 1st. ? wk s free question follows, subsequent wks charged @ 150p /. msg unsubscribe 2 txt STOP 84128 2 custcare 08712405020,",Spam
357,,You have 1 new Call message. 0207 083 - 6089 -,Spam
358,,"Got what it 2 takes take part in the WRC Rally in Oz? U can with Energy! Text Lucozade RALLY LE 61200 to 25p (), packs see lucozade or. . co uk / wrc & itcould be! u",Spam
359,,"SMS SERVICES. for inclusive your text, credits goto pls www comuk. net. login = 3qxj9 unsubscribe with STOP, no extra. charge 08702840625 help. COMUK. 220 CM2 - 9AE",Spam
0,,WIN a _ _ Shopping _ every WEEK Starting _. _ play _ _ to 88039. SkilGme. _ 1Winawk! age16 £ _. 50perweeksub.,Spam
1,,_ ARE CHOSEN TO RECEIVE _ £ _ AWARD! Pls _ _ number _ to _ your _ which you are selected to _ as a valued mobile _.,Spam
2,,_ the most sparkling shopping _ from 45 per _; _ _ 2025050 or _ www. _. org. uk,Spam
3,,Warner Village 83118 C Colin _ in _ this wkend @ Warner Village & get _ free med. Popcorn! _ _ msg + _ @ _. Valid _ - 7 / 12. _ t & c @ _. Reply SONY 4 mre film offers,Spam
4,,_ - _ are awarded a SiPix Digital Camera! _ 09061221066 _ _. Delivery _ 28 days.,Spam
5,,_ have 1 _ _. Please call 08715205273,Spam
6,,_ / / tms. _. com / _. _? _ = 820554ad0a1705572711 & first = true ¡ _ _ Ringtone _,Spam
7,,Want explicit _ in 30 secs? Ring _ now! Costs 20p / _ _ POBOX _ _ 3XX,Spam
8,,PRIVATE! _ _ Account _ for _ 800 un - redeemed S. I. _. points. Call _ Identifier _: 4xx26 _ _ / _ / 04,Spam
